target,approach,cycle_mae,cycle_rmse,cycle_rel_mae,cycle_r2,cycle_n,cond_cond_mae_mean,cond_cond_mae_std,cond_cond_rmse_mean,cond_per_condition
SEC_Wh_m3,Ridge,0.8191526933888928,1.0691732676568921,0.038279299925554636,0.8482789896179097,101,0.8129015955476862,0.2577985942007524,1.0154220590577807,"{0: 0.7428335024174813, 1: 0.6260960406387722, 2: 0.7046119537423657, 3: 0.6940080389107657, 4: 1.2096593886977562, 5: 0.5960914929552558, 6: 0.6435548789270106, 7: 1.26911003501249, 8: 1.0349454429803293, 9: 0.6081051811946352}"
SEC_Wh_m3,GP_no_Lk,0.8210556992301773,1.0652192974811368,0.03836822807282989,0.8493990907380568,101,0.8148043580518729,0.25168116391018386,1.0119982040297981,"{0: 0.7456301356915319, 1: 0.6227821192471789, 2: 0.6833142542168021, 3: 0.6945708604321055, 4: 1.206282800552959, 5: 0.605669125636076, 6: 0.648794846354202, 7: 1.2577400361336768, 8: 1.034637515060524, 9: 0.6486218871936735}"
SEC_Wh_m3,GP_with_Lk,0.8228867322082732,1.0646288218947875,0.03845379290232724,0.8495660075663609,101,0.816614855794775,0.2502675144313756,1.0111773550788214,"{0: 0.7425992894014546, 1: 0.6235661278977851, 2: 0.68413725843569, 3: 0.6933854476284502, 4: 1.2071726913055716, 5: 0.6075427781156475, 6: 0.6469255651625798, 7: 1.2574531167276102, 8: 1.033869295365928, 9: 0.6694969879070328}"
R_kappa_pos,Ridge,0.012202907566682158,0.014909693598595486,0.033263443649998954,0.5317020321243201,101,0.012029394761396858,0.0029334387430002295,0.014418108968920287,"{0: 0.008743424906262953, 1: 0.014099735798468094, 2: 0.005807910724392894, 3: 0.014913869333263748, 4: 0.013802740981707926, 5: 0.015055473435220167, 6: 0.012356715996168296, 7: 0.012083634747513696, 8: 0.012882525011154495, 9: 0.01054791667981631}"
R_kappa_pos,GP_no_Lk,0.012208255080115585,0.014880575866257807,0.03327802023437349,0.5335293614211751,101,0.012031045528009088,0.0029629315836818605,0.014387415920277036,"{0: 0.010264976956383355, 1: 0.013508538390197763, 2: 0.005213966710306193, 3: 0.015151155045011315, 4: 0.01361495569245825, 5: 0.014908940725088119, 6: 0.012361557017164744, 7: 0.010530711948952522, 8: 0.013811220438336784, 9: 0.01094443235619183}"
R_kappa_pos,GP_with_Lk,0.012171825544950636,0.0148981061402839,0.033178718343940136,0.5324296492972,101,0.011980354334766987,0.0031314661887111178,0.014354141897179182,"{0: 0.011081637828711854, 1: 0.01312923179211771, 2: 0.005473084188599536, 3: 0.015388271105358302, 4: 0.013619096050306987, 5: 0.014901236521816939, 6: 0.012325737766564735, 7: 0.008320128426136528, 8: 0.014535844504937228, 9: 0.01102927516312005}"
